"","M_RW_mean","M_TBL_mean","M_SP_mean","M_ALL_mean","M_RW_sd","M_TBL_sd","M_SP_sd","M_ALL_sd","var"
"1","52.9979828722691","53.5249826218802","52.7356672242102","52.9646939821047","28.8435743084873","28.7803447488454","28.9867378977874","23.7834342151301","ses_high"
"2","35.929815422121","35.0774053296536","41.1110408082158","37.3069180786947","27.1728295646028","26.2232708516105","28.2453296397847","21.8491663525561","ses_low"
"3","33.8333115003349","29.9492986394603","40.655323760773","34.6693010837183","26.6133207266839","24.3798386610173","28.0850993711129","21.6099922504318","ses_lowest"
"4","56.6260820104733","48.3867710533236","50.1497561523537","51.6686972795608","28.7760722342885","28.9739383012092","29.4854379263343","24.1813838223311","female_0"
"5","46.1248378173467","54.8901974736454","53.2137205288613","51.2185520465061","28.5470392649209","28.9163083256822","28.6487511234487","24.0284921766777","female_1"
"6","75.4710068584205","75.1083552376386","74.862259652138","75.0947143476877","19.8237330742024","20.3691898805279","20.5283985382785","14.0903496819557","ability_top"
"7","51.836252124028","52.1861640327226","51.7106045076267","51.8749354379057","23.7574398793692","23.832254105296","24.3342092969785","15.013581416058","ability_middle"
"8","27.1269868883588","28.1106588782667","29.0883207483709","28.0344427224796","20.6507070390794","21.3941312214975","21.8287144178189","14.6091604236929","ability_bottom"
"9","51.3836839493114","51.6354078250097","51.6801533100063","51.4439351601592","29.1388953565013","29.1272056468877","29.1108413232746","24.1061865046766","all_all"
"10","N","423432",NA,NA,NA,NA,NA,NA,NA
